TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN
string,string,string,string,string,string,string,string,string,string,string,string
TID_LANGUAGE_LOCALIZED_NAME,English,Français,Deutsch,Español,Italiano,Nederlands,Norsk,Português,Türkçe,日本語,中文
TID_BUILDING_HOUSE,House,Maison,Haus,Casa,Casa,Huis,Hus,Casa,Ev,住居,房屋
TID_BUILDING_HOUSING,Army Camp,Camp militaire,Armeelager,Campamento,Accampamento militare,Legerkamp,Arméleir,Acampamento,Ordu Kampı,アーミーキャンプ,兵营
TID_BUILDING_TOWN_HALL,Town Hall,Hôtel de ville,Rathaus,Ayuntamiento,Municipio,Stadhuis,Rådhus,Centro da Vila,Köy Binası,タウンホール,大本营
TID_BUILDING_ELIXIR_PUMP,Elixir Collector,Extracteur d'élixir,Elixiersammler,Recolector de elixir,Estrattore di elisir,Elixirpomp,Eliksirsamler,Coletor de Elixir,İksir Toplayıcı,エリクサーポンプ,圣水收集器
TID_BUILDING_ELIXIR_STORAGE,Elixir Storage,Réservoir d'élixir,Elixierlager,Almacén de elixir,Deposito di elisir,Elixirtank,Eliksirlager,Armazenagem de Elixir,İksir Deposu,エリクサータンク,圣水瓶
TID_BUILDING_GOLD_MINE,Gold Mine,Mine d'or,Goldmine,Mina de oro,Miniera d'oro,Goudmijn,Gullgruve,Mina de Ouro,Altın Madeni,金山,金矿
TID_BUILDING_GOLD_STORAGE,Gold Storage,Réserve d'or,Goldlager,Almacén de oro,Deposito d'oro,Goudkluis,Gullager,Armazenagem de Ouro,Altın Deposu,金庫,储金罐
TID_BUILDING_BARRACK,Barracks,Caserne,Kaserne,Cuartel,Caserma,Kazerne,Brakker,Quartel,Kışla,兵舎,训练营
TID_BUILDING_CANNON,Cannon,Canon,Kanone,Cañón,Cannone,Kanon,Kanon,Canhão,Top,大砲,加农炮
TID_BUILDING_TESLA_TOWER,Hidden Tesla,Tesla camouflée,Verborgener Tesla,Tesla oculto,Tesla occulta,Verborgen tesla,Skjult tesla,Tesla oculta,Gizli Tesla,かくしテスラ,特斯拉电磁塔
TID_BUILDING_WALL,Wall,Rempart,Mauer,Muro,Muro,Muur,Vegg,Muro,Duvar,壁,城墙
TID_BUILDING_FENCE,Fence,Barrière,Zaun,Valla,Staccionata,Hek,Gjerde,Cerca,Çit,柵,篱笆
TID_BUILDING_WIZARD_TOWER,Wizard Tower,Tour de sorciers,Magierturm,Torre de magos,Torre dello stregone,Tovenaarstoren,Sjamanstårn,Torre do Mago,Sihirbaz Kulesi,ウィザードの塔,法师塔
TID_BUILDING_AIR_DEFENSE,Air Defense,Défense antiaérienne,Luftabwehr,Defensa aérea,Difesa aerea,Luchtafweer,Luftforsvar,Defesa Aérea,Hava Savunması,対空砲,防空火箭
TID_BUILDING_MORTAR,Mortar,Mortier,Minenwerfer,Mortero,Mortaio,Mortier,Morter,Morteiro,Havan,迫撃砲,迫击炮
TID_WORKER_BUILDING,Builder's Hut,Cabane d'ouvrier,Bauhütte,Choza de constructor,Capanna del muratore,Bouwkeet,Byggerhytte,Cabana do Construtor,İnşaatçı Kulübesi,大工の小屋,建筑工人小屋
TID_BUILDING_LABORATORY,Laboratory,Laboratoire,Labor,Laboratorio,Laboratorio,Laboratorium,Laboratorium,Laboratório,Laboratuvar,ラボ,试验室
TID_TRAP_BOMB,Bomb Trap,Piège à bombe,Bombenfalle,Trampa bomba,Trappola bomba,Bomval,Bombefelle,Armadilha de Bomba,Bombalı Tuzak,爆弾,隐形炸弹
TID_TRAP_EJECT,Spring Trap,Piège à ressort,Tellereisen,Trampa de salto,Trappola a scatto,Veerval,Dyrefelle,Armadilha de Mola,Yaylı Tuzak,ばねトラップ,隐形弹簧
TID_TRAP_TIMETRAP,Time Trap,Time Trap,Zeitfalle,Trampa de tiempo,Trappola a tempo,Tijdval,Tidsfelle,Armadilha de Tempo,Zaman Tuzağı,タイムトラップ,时间陷阱
TID_BUTTON_SPEEDUP,Finish Now,Accélérer,Jetzt beenden,Terminar,Completa,Nu voltooien,Fullfør nå,Concluir Agora,Şimdi Bitir,今すぐ完成,立刻完成
